package_id,rank,anomaly_score,split,factor_1,factor_1_value,factor_1_formatted,factor_1_percentile,factor_2,factor_2_value,factor_2_formatted,factor_2_percentile,factor_3,factor_3_value,factor_3_formatted,factor_3_percentile
57740127,1,0.682397,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,21.807819,"Rp2,958,116,701",0.8127
10087308000,2,0.653319,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.093064,"Rp214,819,411,992",0.9859
10032258000,3,0.646017,train,procurement_type_code,5.0,5.000000,0.8503,procurement_method_code,2.0,2.000000,0.9992,log_hps,22.526779,"Rp6,070,936,088",0.8715
10087340000,4,0.641391,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,25.98906,"Rp193,599,911,701",0.9828
59676127,5,0.640945,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.336139,"Rp273,930,132,187",0.9898
57655127,6,0.640239,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,21.97891,"Rp3,510,097,501",0.8299
59863127,7,0.636994,train,procurement_type_code,5.0,5.000000,0.8503,procurement_method_code,2.0,2.000000,0.9992,log_hps,22.838252,"Rp8,289,470,844",0.8942
10097213000,8,0.635424,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.803633,"Rp437,189,859,985",0.9976
10011478000,9,0.628404,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,23.486296,"Rp15,847,784,000",0.9263
10132051000,10,0.625676,evaluation,procurement_type_code,5.0,5.000000,0.8503,procurement_method_code,2.0,2.000000,0.9992,log_hps,22.802382,"Rp7,997,398,196",0.8895
10086485000,11,0.622252,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.032492,"Rp202,193,716,726",0.9835
57898127,12,0.622034,train,procurement_type_code,7.0,7.000000,0.9976,procurement_method_code,2.0,2.000000,0.9992,log_hps,27.893385,"Rp1,299,999,105,215",1.0
10065358000,13,0.609127,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,25.465597,"Rp114,701,234,112",0.9765
10086518000,14,0.607694,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.305744,"Rp265,729,423,915",0.989
59967127,15,0.607372,train,procurement_type_code,8.0,8.000000,1.0,procurement_method_code,3.0,3.000000,1.0,log_hps,19.466317,"Rp284,520,741",0.3738
61266127,16,0.600178,train,procurement_type_code,5.0,5.000000,0.8503,procurement_method_code,2.0,2.000000,0.9992,log_hps,21.632993,"Rp2,483,644,951",0.7923
10026743000,17,0.599268,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.395816,"Rp290,775,000,008",0.9929
10091302000,18,0.59233,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.647623,"Rp374,037,895,053",0.9961
10008064000,19,0.59105,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,22.670949,"Rp7,012,424,001",0.8793
59654127,20,0.588725,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,24.181973,"Rp31,775,862,683",0.9545
